epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.482,1.11242,2.42886,1.70157,0.80056,0.53836,0.61979,0.36798,1.31165,2.65767,2.4331,0.000365396,0.000365396,0.000365396
2,378.082,1.15386,1.59908,1.69622,0.85144,0.53984,0.62222,0.25612,1.86547,2.43961,2.93201,0.000721161,0.000721161,0.000721161
3,561.742,1.12836,1.44782,1.68115,0.88986,0.55351,0.61104,0.35723,1.47236,1.79499,2.49753,0.00106226,0.00106226,0.00106226
4,743.653,1.12945,1.34177,1.68092,0.95688,0.61942,0.65174,0.39927,1.37279,1.3045,2.40688,0.00104501,0.00104501,0.00104501
5,928.74,1.12396,1.21692,1.67406,0.92632,0.62531,0.74046,0.47033,1.38318,1.0999,2.44753,0.00102301,0.00102301,0.00102301
6,1110.72,1.09425,1.13568,1.64549,0.94928,0.62218,0.77723,0.47404,1.41176,1.04294,2.53013,0.00100101,0.00100101,0.00100101
7,1292.89,1.09805,1.08124,1.65201,0.93971,0.64217,0.82146,0.55262,1.3871,0.96548,2.24547,0.000979013,0.000979013,0.000979013
8,1481.22,1.10544,1.03534,1.64861,0.82495,0.59471,0.647,0.40895,1.35591,1.25276,2.1905,0.000957015,0.000957015,0.000957015
9,1672.45,1.09911,1.03537,1.62937,0.9511,0.59771,0.66917,0.42006,1.39114,0.94408,2.20293,0.000935018,0.000935018,0.000935018
10,1862.5,1.07076,1.00378,1.61662,0.97163,0.63793,0.67653,0.4346,1.3684,0.75252,2.24197,0.00091302,0.00091302,0.00091302
11,2055.43,1.04575,0.96117,1.60318,0.98066,0.63584,0.66857,0.43506,1.35304,0.81149,2.22327,0.000891022,0.000891022,0.000891022
12,2249.67,1.03258,0.99657,1.59591,0.98344,0.63985,0.67479,0.42305,1.35148,0.74496,2.24031,0.000869024,0.000869024,0.000869024
13,2441.59,1.05747,0.96448,1.60592,0.94589,0.62153,0.67944,0.43445,1.36644,0.79004,2.19614,0.000847026,0.000847026,0.000847026
14,2635.08,1.03952,0.94361,1.59145,0.97179,0.65577,0.80656,0.4994,1.43136,0.72061,2.2601,0.000825029,0.000825029,0.000825029
15,2826.92,1.04898,0.92499,1.6117,0.97021,0.638,0.66257,0.4147,1.33883,0.672,2.32559,0.000803031,0.000803031,0.000803031
16,3019.75,1.03855,0.94197,1.59783,0.95132,0.62462,0.67005,0.42883,1.30272,0.75112,2.18141,0.000781033,0.000781033,0.000781033
17,3212.07,1.01545,0.89102,1.58134,0.98256,0.64148,0.67342,0.44365,1.29708,0.66183,2.08071,0.000759035,0.000759035,0.000759035
18,3406.05,1.02749,0.90962,1.5851,0.97401,0.64908,0.71853,0.4883,1.26265,0.58673,2.20524,0.000737037,0.000737037,0.000737037
19,3598.97,0.99126,0.85864,1.5664,0.97394,0.64304,0.65812,0.43662,1.26838,0.66306,2.19662,0.00071504,0.00071504,0.00071504
20,3791.57,1.01252,0.85555,1.56955,0.97441,0.6482,0.66476,0.42639,1.3616,0.65392,2.19156,0.000693042,0.000693042,0.000693042
21,3984.02,1.00195,0.87004,1.57434,0.98621,0.63957,0.69376,0.46193,1.25577,0.62394,2.04716,0.000671044,0.000671044,0.000671044
22,4175.93,1.00969,0.86637,1.56053,0.97776,0.64652,0.67033,0.44174,1.2255,0.63523,2.1023,0.000649046,0.000649046,0.000649046
23,4369.65,0.9937,0.8583,1.55029,0.95361,0.60555,0.69005,0.45423,1.21436,0.73536,2.02299,0.000627048,0.000627048,0.000627048
24,4863.67,0.98272,0.85284,1.54585,0.96831,0.63933,0.67433,0.45111,1.26595,0.65338,2.07693,0.000605051,0.000605051,0.000605051
25,5129.03,0.96174,0.83556,1.54752,0.98434,0.64659,0.67246,0.44256,1.23742,0.60348,2.09041,0.000583053,0.000583053,0.000583053
26,5318.07,0.97658,0.86139,1.54411,0.97487,0.64002,0.66911,0.45112,1.21517,0.6141,2.03791,0.000561055,0.000561055,0.000561055
27,5505.38,0.9538,0.82421,1.52779,0.97546,0.64659,0.68704,0.45456,1.29431,0.67024,2.06952,0.000539057,0.000539057,0.000539057
28,5697.05,0.95665,0.79208,1.52814,0.97918,0.63715,0.69127,0.45253,1.2237,0.6522,2.07748,0.000517059,0.000517059,0.000517059
29,5890.15,0.95218,0.78965,1.53044,0.97901,0.6543,0.73861,0.49343,1.33248,0.66155,2.1592,0.000495062,0.000495062,0.000495062
30,6083.19,0.95129,0.79913,1.52706,0.98225,0.65013,0.67054,0.4538,1.21394,0.56527,2.01982,0.000473064,0.000473064,0.000473064
31,6277.07,0.91334,0.79904,1.51039,0.98139,0.62849,0.66915,0.44909,1.23517,0.65941,2.01179,0.000451066,0.000451066,0.000451066
32,6469.86,0.94326,0.79785,1.51942,0.972,0.65092,0.67581,0.45134,1.25496,0.60921,2.05137,0.000429068,0.000429068,0.000429068
33,6662.07,0.9472,0.78722,1.52581,0.97904,0.63869,0.66205,0.45529,1.22101,0.62661,2.04189,0.00040707,0.00040707,0.00040707
34,6855.83,0.92865,0.78053,1.50298,0.96246,0.6337,0.66872,0.45466,1.2065,0.65572,2.06036,0.000385073,0.000385073,0.000385073
35,7048.07,0.94942,0.80137,1.52171,0.97458,0.65013,0.66576,0.45343,1.21202,0.57873,2.03824,0.000363075,0.000363075,0.000363075
36,7240.41,0.91357,0.78013,1.50473,0.98446,0.65013,0.67165,0.45224,1.2251,0.5762,2.01016,0.000341077,0.000341077,0.000341077
37,7433.12,0.89553,0.75938,1.49372,0.98464,0.65013,0.66847,0.44526,1.23496,0.5897,2.05931,0.000319079,0.000319079,0.000319079
